benchmark,variant,family,audit_models,owners,discovery_audit_models,validation_audit_models,representatives,discovery_representatives,validation_representatives
MMLU-Pro,owner_cap_1,gemma,19,19,9,10,19,9,10
MMLU-Pro,owner_cap_1,llama,78,78,39,39,78,39,39
MMLU-Pro,owner_cap_1,mistral,17,17,8,9,17,8,9
MMLU-Pro,owner_cap_1,phi,26,26,13,13,26,13,13
MMLU-Pro,owner_cap_1,qwen,64,64,32,32,64,32,32
MMLU-Pro,owner_cap_3,gemma,39,19,19,20,19,10,9
MMLU-Pro,owner_cap_3,llama,136,78,68,68,78,38,40
MMLU-Pro,owner_cap_3,mistral,22,17,11,11,17,9,8
MMLU-Pro,owner_cap_3,phi,38,26,19,19,26,13,13
MMLU-Pro,owner_cap_3,qwen,113,64,57,56,64,31,33
MMLU-Pro,owner_cap_5_baseline,gemma,48,19,24,24,19,11,8
MMLU-Pro,owner_cap_5_baseline,llama,162,78,81,81,78,41,37
MMLU-Pro,owner_cap_5_baseline,mistral,22,17,11,11,17,8,9
MMLU-Pro,owner_cap_5_baseline,phi,42,26,21,21,26,13,13
MMLU-Pro,owner_cap_5_baseline,qwen,142,64,71,71,64,33,31
MMLU-Pro,lexicographic_checkpoint,gemma,19,19,11,8,19,11,8
MMLU-Pro,lexicographic_checkpoint,llama,78,78,41,37,78,41,37
MMLU-Pro,lexicographic_checkpoint,mistral,17,17,8,9,17,8,9
MMLU-Pro,lexicographic_checkpoint,phi,26,26,13,13,26,13,13
MMLU-Pro,lexicographic_checkpoint,qwen,64,64,33,31,64,33,31
MMLU-Pro,strict_lineage,gemma,36,16,18,18,16,9,7
MMLU-Pro,strict_lineage,llama,146,74,73,73,74,37,37
MMLU-Pro,strict_lineage,mistral,18,13,9,9,13,6,7
MMLU-Pro,strict_lineage,phi,34,21,17,17,21,10,11
MMLU-Pro,strict_lineage,qwen,121,54,61,60,54,28,26
MMLU-Pro,omit_gemma,llama,162,78,81,81,78,38,40
MMLU-Pro,omit_gemma,mistral,22,17,11,11,17,9,8
MMLU-Pro,omit_gemma,phi,42,26,21,21,26,14,12
MMLU-Pro,omit_gemma,qwen,142,64,71,71,64,33,31
MMLU-Pro,omit_llama,gemma,48,19,24,24,19,9,10
MMLU-Pro,omit_llama,mistral,22,17,11,11,17,8,9
MMLU-Pro,omit_llama,phi,42,26,21,21,26,13,13
MMLU-Pro,omit_llama,qwen,142,64,71,71,64,32,32
MMLU-Pro,omit_mistral,gemma,48,19,24,24,19,10,9
MMLU-Pro,omit_mistral,llama,162,78,81,81,78,38,40
MMLU-Pro,omit_mistral,phi,42,26,21,21,26,14,12
MMLU-Pro,omit_mistral,qwen,142,64,71,71,64,33,31
MMLU-Pro,omit_phi,gemma,48,19,24,24,19,10,9
MMLU-Pro,omit_phi,llama,162,78,81,81,78,38,40
MMLU-Pro,omit_phi,mistral,22,17,11,11,17,10,7
MMLU-Pro,omit_phi,qwen,142,64,71,71,64,32,32
MMLU-Pro,omit_qwen,gemma,48,19,24,24,19,8,11
MMLU-Pro,omit_qwen,llama,162,78,81,81,78,38,40
MMLU-Pro,omit_qwen,mistral,22,17,11,11,17,8,9
MMLU-Pro,omit_qwen,phi,42,26,21,21,26,12,14
BBH,owner_cap_1,gemma,58,58,29,29,58,29,29
BBH,owner_cap_1,llama,217,217,108,109,217,108,109
BBH,owner_cap_1,mistral,65,65,33,32,65,33,32
BBH,owner_cap_1,phi,47,47,23,24,47,23,24
