annotator,model,blinded_id,benchmark,pair_id,group,common_blueprint_cell,discovery_advantaged_family,validation_advantaged_family,quantitative_symbolic,formal_rule_reasoning,factual_domain_knowledge,contextual_reading,commonsense_narrative,spatial_temporal,linguistic_wordplay,negation_exception,code_structured_representation,distractor_discrimination,reasoning_steps,context_burden,ambiguity_degree
annotator_a,gpt-5.5,record_0000,MMLU-Pro,pair_0000,matched_control,cell_0000,phi,phi,1,0,1,0,0,0,0,0,0,1,2,1,0
annotator_a,gpt-5.5,record_0001,MMLU,pair_0001,matched_control,cell_0001,mistral,phi,0,0,1,0,0,0,0,0,0,1,1,0,0
annotator_a,gpt-5.5,record_0002,MMLU-Pro,pair_0002,matched_control,cell_0002,qwen,gemma,1,1,1,1,0,0,0,0,0,1,2,1,0
annotator_a,gpt-5.5,record_0003,MMLU,pair_0003,stable_high_dif,cell_0003,gemma,llama,1,0,1,0,0,0,0,0,0,1,1,1,0
annotator_a,gpt-5.5,record_0004,HellaSwag,pair_0004,matched_control,cell_0004,mistral,mistral,0,0,0,1,1,1,0,0,1,1,1,1,0
annotator_a,gpt-5.5,record_0005,HellaSwag,pair_0005,matched_control,cell_0004,gemma,gemma,0,0,0,1,1,1,0,0,0,1,1,1,0
annotator_a,gpt-5.5,record_0006,MMLU,pair_0006,stable_high_dif,cell_0005,mistral,mistral,0,0,1,1,0,1,0,0,0,1,1,2,0
annotator_a,gpt-5.5,record_0007,WinoGrande,pair_0007,stable_high_dif,cell_0006,qwen,gemma,0,0,0,1,1,0,0,0,0,1,1,1,0
annotator_a,gpt-5.5,record_0008,HellaSwag,pair_0008,matched_control,cell_0007,llama,mistral,0,0,1,1,1,0,0,0,1,1,1,2,1
annotator_a,gpt-5.5,record_0009,BBH,pair_0009,matched_control,cell_0008,qwen,qwen,0,1,0,1,0,0,0,0,0,0,3,2,0
annotator_a,gpt-5.5,record_0010,BBH,pair_0010,stable_high_dif,cell_0009,gemma,gemma,0,1,0,1,0,1,0,0,0,0,3,3,0
annotator_a,gpt-5.5,record_0011,BBH,pair_0011,matched_control,cell_0010,phi,phi,0,1,0,1,0,1,0,0,1,1,3,2,0
annotator_a,gpt-5.5,record_0012,MMLU-Pro,pair_0012,stable_high_dif,cell_0011,llama,mistral,1,1,1,1,0,0,0,0,1,1,3,2,1
annotator_a,gpt-5.5,record_0013,BBH,pair_0013,stable_high_dif,cell_0012,phi,phi,0,1,0,1,0,1,0,0,1,1,3,2,0
annotator_a,gpt-5.5,record_0014,MMLU,pair_0014,matched_control,cell_0013,mistral,llama,0,0,1,0,0,0,0,0,0,1,0,0,0
annotator_a,gpt-5.5,record_0015,BBH,pair_0015,stable_high_dif,cell_0014,phi,phi,0,1,0,1,0,1,0,0,1,1,3,2,0
annotator_a,gpt-5.5,record_0016,WinoGrande,pair_0016,stable_high_dif,cell_0006,mistral,phi,0,0,0,1,1,0,0,0,0,1,1,1,0
annotator_a,gpt-5.5,record_0017,BBH,pair_0017,stable_high_dif,cell_0015,phi,phi,0,0,0,1,0,0,1,0,0,1,1,1,1
annotator_a,gpt-5.5,record_0018,BBH,pair_0018,stable_high_dif,cell_0016,phi,gemma,0,0,1,0,1,1,0,0,0,0,1,0,1
annotator_a,gpt-5.5,record_0019,MMLU,pair_0019,matched_control,cell_0017,qwen,mistral,0,0,1,0,0,0,0,0,0,1,0,0,0
annotator_a,gpt-5.5,record_0020,BBH,pair_0020,stable_high_dif,cell_0018,llama,llama,0,1,0,1,0,1,0,0,0,0,3,2,0
annotator_a,gpt-5.5,record_0021,HellaSwag,pair_0021,stable_high_dif,cell_0019,llama,gemma,0,0,1,1,1,0,0,0,0,1,1,1,0
annotator_a,gpt-5.5,record_0022,WinoGrande,pair_0022,stable_high_dif,cell_0006,phi,mistral,0,0,0,1,1,0,0,0,0,1,1,1,0
annotator_a,gpt-5.5,record_0023,WinoGrande,pair_0023,matched_control,cell_0020,qwen,llama,0,0,0,1,1,0,0,0,0,1,1,1,1
annotator_a,gpt-5.5,record_0024,BBH,pair_0024,stable_high_dif,cell_0021,phi,phi,0,1,0,1,0,1,0,0,1,1,3,2,0
annotator_a,gpt-5.5,record_0025,HellaSwag,pair_0025,matched_control,cell_0007,mistral,llama,0,0,0,1,1,0,0,0,0,1,1,1,1
annotator_a,gpt-5.5,record_0026,HellaSwag,pair_0026,matched_control,cell_0019,qwen,qwen,0,0,0,1,1,1,0,0,0,1,1,1,0
annotator_a,gpt-5.5,record_0027,BBH,pair_0027,stable_high_dif,cell_0022,phi,phi,0,1,0,1,0,1,0,0,1,1,3,2,0
annotator_a,gpt-5.5,record_0028,MMLU,pair_0028,matched_control,cell_0023,phi,gemma,0,1,1,1,0,1,0,1,0,1,3,3,1
annotator_a,gpt-5.5,record_0029,HellaSwag,pair_0029,stable_high_dif,cell_0004,mistral,mistral,0,0,0,1,1,1,0,0,1,1,1,2,0
annotator_a,gpt-5.5,record_0030,BBH,pair_0030,stable_high_dif,cell_0024,qwen,qwen,0,0,0,1,1,0,0,1,0,1,1,2,1
annotator_a,gpt-5.5,record_0031,WinoGrande,pair_0031,stable_high_dif,cell_0006,mistral,mistral,0,0,0,1,1,0,0,0,0,0,1,1,0
annotator_a,gpt-5.5,record_0032,HellaSwag,pair_0032,matched_control,cell_0025,qwen,qwen,0,0,0,1,1,1,0,0,0,1,1,1,0
annotator_a,gpt-5.5,record_0033,BBH,pair_0024,matched_control,cell_0021,mistral,phi,0,1,0,1,0,1,0,0,1,1,3,2,0
annotator_a,gpt-5.5,record_0034,HellaSwag,pair_0033,stable_high_dif,cell_0025,phi,phi,0,0,0,1,1,1,0,0,1,1,1,2,1
annotator_a,gpt-5.5,record_0035,MMLU,pair_0034,stable_high_dif,cell_0026,qwen,qwen,0,0,1,1,0,1,0,0,1,1,1,1,1
annotator_a,gpt-5.5,record_0036,BBH,pair_0035,stable_high_dif,cell_0009,mistral,mistral,0,1,0,1,0,1,0,0,1,0,3,2,0
annotator_a,gpt-5.5,record_0037,WinoGrande,pair_0036,matched_control,cell_0027,mistral,phi,0,0,0,1,1,1,0,0,0,1,1,1,0
annotator_a,gpt-5.5,record_0038,MMLU,pair_0019,stable_high_dif,cell_0017,phi,phi,0,0,1,0,0,0,0,0,0,1,1,0,1
annotator_a,gpt-5.5,record_0039,WinoGrande,pair_0037,stable_high_dif,cell_0006,mistral,mistral,0,0,0,1,1,0,0,1,0,1,2,2,1
